date,N#,title,Nombre original,Nombre Final,url
2016-07-12,1,Стоячая волна в индукторе.(начало 2016г.),Стоячая волна в индукторе.(начало 2016г.).mp4,2016-07-12 - 1 - Standing wave in the inductor (early 2016).mp4,https://www.youtube.com/watch?v=XzHwPDZAXnM
2016-07-12,2,Четверть волновой резонатор.,Четверть волновой резонатор.mp4,2016-07-12 - 2 - Quarter-wave resonator.mp4,https://www.youtube.com/watch?v=wh23XTOE5jU
2016-07-12,3,Работа упровляемого ТТ предварительная настройка.,Работа упровляемого ТТ предварительная настройка.mp4,"2016-07-12 - 3 - Operation of the controlled Tesla Transformer, preliminary tuning.mp4",https://www.youtube.com/watch?v=GMcglx5I-O4
2016-07-12,4,Эффект статического разряда на антенне.,Эффект статического разряда на антенне.mp4,2016-07-12 - 4 - Static discharge effect on the antenna.mp4,https://www.youtube.com/watch?v=tL93CQ6QnYI
2016-07-12,5,Осциллограмма при статическом разряде на антенне.,Осциллограмма при статическом разряде на антенне.mp4,2016-07-12 - 5 - Oscillogram during static discharge on the antenna.mp4,https://www.youtube.com/watch?v=EwVWW89JMEM
2016-07-12,6,Разряд на воду с натриевым электролитом большой плотности.,Разряд на воду с натриевым электролитом большой плотности.mp4,2016-07-12 - 6 - Discharge onto water with a high-density sodium electrolyte.mp4,https://www.youtube.com/watch?v=2ylifwWtjlY
2016-07-12,7,"Инвертор напряжения 220 вольт AC 7,5 ампер в 800вольт DC 2 ампера.","Инвертор напряжения 220 вольт AC 7,5 ампер в 800вольт DC 2 ампера.mp4",2016-07-12 - 7 - Voltage inverter 220 volts AC 7.5 amps to 800 volts DC 2 amps.mp4,https://www.youtube.com/watch?v=lR3WPeITlsQ
2016-07-12,8,Разряд 750-800 вольт на воду с электролитом слабой концентрации.,Разряд 750-800 вольт на воду с электролитом слабой концентрации.mp4,2016-07-12 - 8 - Discharge of 750-800 volts onto water with a low-concentration electrolyte.mp4,https://www.youtube.com/watch?v=qqQCNej_m3Q
2016-07-12,9,Индукционный водонагреватель против чайника часть 1.MPG,Индукционный водонагреватель против чайника часть 1.MPG.mp4,2016-07-12 - 9 - Induction water heater vs kettle part 1.mp4,https://www.youtube.com/watch?v=wUVdeT9pxqs
2016-07-12,10,Электролиз в насыщенном электролите(установка на заказ для лаборатории).,Электролиз в насыщенном электролите(установка на заказ для лаборатории).mp4,2016-07-12 - 10 - Electrolysis in saturated electrolyte (custom installation for a laboratory).mp4,https://www.youtube.com/watch?v=txTNtCPtFII
